Регион;Код;2017;2018;2019;2020;2021;2022;2023
Ростовская область;600;-2496.0;-2956.0;-1431.0;-762.0;-1729.0;-3434.0;6461.0
Город федерального значения Севастополь;670;2635.0;2332.0;2076.0;4132.0;4143.0;4534.0;3652.0
Северо-Кавказский федеральный округ;38;-14653.0;-14906.0;-8781.0;-5134.0;-7620.0;-8026.0;-8796.0
Республика Дагестан;820;-6524.0;-6537.0;-5396.0;-3626.0;-3768.0;-2359.0;-5467.0
Республика Ингушетия;260;786.0;1519.0;1308.0;851.0;839.0;568.0;646.0
Кабардино-Балкарская Республика;830;-1523.0;-1991.0;-1378.0;-368.0;-874.0;-1118.0;-58.0
Карачаево-Черкесская Республика;910;-748.0;-916.0;-616.0;-215.0;-371.0;-619.0;-427.0
Республика Северная Осетия-Алания;900;-2125.0;-2738.0;-2239.0;-1591.0;-1768.0;-2378.0;-1629.0
Чеченская Республика;960;-1428.0;-1715.0;-964.0;-679.0;-1557.0;-2311.0;-2663.0
Ставропольский край;700;-3091.0;-2528.0;504.0;494.0;-121.0;191.0;802.0
