Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Республика Башкортостан;800;Женщины;Сельская местность;33837.0;34200.0;31980.0;28632.0;30669.0;27641.0;28757.0
Республика Марий Эл;880;Женщины;Сельская местность;3132.0;2977.0;3688.0;3146.0;2823.0;3137.0;3044.0
Республика Мордовия;890;Женщины;Сельская местность;3467.0;3217.0;3394.0;3012.0;3089.0;2959.0;3167.0
Республика Татарстан (Татарстан);920;Женщины;Сельская местность;14431.0;15441.0;15836.0;15735.0;17342.0;14994.0;16038.0
Удмуртская Республика;940;Женщины;Сельская местность;10891.0;10627.0;8683.0;7763.0;8677.0;8619.0;8234.0
Чувашская Республика - Чувашия;970;Женщины;Сельская местность;9256.0;9607.0;8712.0;7881.0;7004.0;6412.0;6652.0
Пермский край;570;Женщины;Сельская местность;15503.0;15935.0;14281.0;12378.0;13574.0;11991.0;11213.0
Кировская область;330;Женщины;Сельская местность;7078.0;6753.0;6251.0;5412.0;5511.0;5711.0;5615.0
Нижегородская область;220;Женщины;Сельская местность;11577.0;11761.0;10737.0;9475.0;9132.0;8703.0;8093.0
Оренбургская область;530;Женщины;Сельская местность;11728.0;10596.0;10865.0;9844.0;10031.0;9426.0;8905.0
Пензенская область;560;Женщины;Сельская местность;6133.0;5545.0;5322.0;4239.0;4691.0;4317.0;4290.0
Самарская область;360;Женщины;Сельская местность;10897.0;11585.0;10033.0;9493.0;10405.0;9137.0;9515.0
Саратовская область;630;Женщины;Сельская местность;8437.0;7903.0;7779.0;7098.0;6512.0;6166.0;6298.0
Ульяновская область;730;Женщины;Сельская местность;4001.0;3983.0;3385.0;2993.0;2967.0;2648.0;2608.0
Уральский федеральный округ;34;Женщины;Сельская местность;42164.0;43776.0;43320.0;39185.0;40313.0;38067.0;38921.0
Курганская область;370;Женщины;Сельская местность;6979.0;6751.0;7091.0;6978.0;6151.0;5750.0;5593.0
Свердловская область;650;Женщины;Сельская местность;10772.0;10643.0;9697.0;8972.0;9088.0;8721.0;8715.0
Тюменская область;710;Женщины;Сельская местность;12512.0;14310.0;13249.0;11712.0;12252.0;11461.0;11754.0
