Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Смоленская область;66000000000;690289.0;685043.0;679785.0;673089.0;665791.0;657302.0;648363.0;639318.0;631147.0;625987.0
Тамбовская область;68000000000;627389.0;622738.0;620088.0;614604.0;607604.0;601546.0;593660.0;586454.0;580901.0;576355.0
Тверская область;28000000000;985385.0;981076.0;975154.0;966842.0;959966.0;952319.0;941701.0;930316.0;919910.0;912034.0
Тульская область;70000000000;1176314.0;1168288.0;1160333.0;1150096.0;1137699.0;1122869.0;1105704.0;1090487.0;1079131.0;1068834.0
Ярославская область;78000000000;1032830.0;1030158.0;1026033.0;1018478.0;1009713.0;999266.0;984995.0;972461.0;963830.0;956418.0
Город Москва столица Российской Федерации город федерального значения;45000000000;12278053.0;12426540.0;12571383.0;12745157.0;12887153.0;12963013.0;12997272.0;13059651.0;13126990.0;13212044.0
Северо-Западный федеральный округ;031;11662484.0;11695273.0;11739875.0;11771067.0;11811469.0;11835139.0;11822718.0;11800915.0;11779990.0;11822237.0
Республика Карелия;86000000000;475573.0;467145.0;457328.0;446885.0;439106.0;432509.0;425914.0;421852.0;419825.0;417128.0
Республика Коми;87000000000;643996.0;634310.0;623596.0;611144.0;598202.0;586597.0;575485.0;566905.0;562731.0;559417.0
Архангельская область;11000000000;872644.0;861183.0;848133.0;833986.0;821292.0;808811.0;794588.0;784246.0;779785.0;776106.0
Ненецкий автономный округ (Архангельская область);11100000000;30514.0;30644.0;30535.0;30426.0;30433.0;30596.0;30704.0;30785.0;31206.0;31482.0
Архангельская область (кроме Ненецкого автономного округа);11001000000;842131.0;830537.0;817596.0;803560.0;790860.0;778214.0;763882.0;753461.0;748578.0;744624.0
Вологодская область;19000000000;854348.0;853732.0;851294.0;847065.0;841984.0;835942.0;828801.0;821807.0;816731.0;813562.0
Калининградская область;27000000000;749732.0;755766.0;762596.0;769127.0;776810.0;783379.0;788489.0;791145.0;791080.0;790239.0
Ленинградская область;41000000000;1185629.0;1192749.0;1199997.0;1211889.0;1256281.0;1306388.0;1333956.0;1352085.0;1365392.0;1405924.0
