Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Чита;764;Женщины;Городская местность;627.0;280.0;280.0;280.0;280.0;280.0;280.0
Красноярский край;400;Женщины;Городская местность;140.0;556.0;-1307.0;377.0;2633.0;2052.0;4384.0
Иркутская область;250;Женщины;Городская местность;-2937.0;-2044.0;-3940.0;-2494.0;-2934.0;-3513.0;-2841.0
Кемеровская область - Кузбасс;320;Женщины;Городская местность;-2791.0;-5116.0;-4499.0;-2916.0;-4301.0;-3803.0;-2693.0
Новосибирская область;500;Женщины;Городская местность;1269.0;2125.0;2800.0;1258.0;1519.0;-550.0;519.0
Омская область;520;Женщины;Городская местность;-2984.0;-3856.0;-3144.0;-2436.0;-2454.0;-2204.0;-624.0
Томская область;690;Женщины;Городская местность;239.0;-311.0;-2204.0;-3248.0;-1798.0;-1780.0;-1719.0
Томск;694;Женщины;Городская местность;480.0;45.0;45.0;45.0;45.0;45.0;45.0
Дальневосточный федеральный округ;36;Женщины;Городская местность;-6719.0;-6719.0;-6719.0;-6719.0;-6719.0;-6719.0;-6719.0
Дальневосточный федеральный округ (с 03.11.2018);42;Женщины;Городская местность;-8870.0;-8870.0;-4861.0;-8190.0;-5405.0;-6456.0;-1589.0
Республика Бурятия;810;Женщины;Городская местность;-31.0;-1012.0;506.0;-763.0;-938.0;-1008.0;-760.0
Забайкальский край;760;Женщины;Городская местность;-1814.0;-1829.0;-590.0;-913.0;-416.0;-957.0;-628.0
Республика Саха (Якутия);980;Женщины;Городская местность;-957.0;-410.0;-689.0;-1055.0;750.0;13.0;1627.0
Камчатский край;300;Женщины;Городская местность;-967.0;-1050.0;-267.0;-329.0;-302.0;47.0;485.0
Приморский край;500;Женщины;Городская местность;-1020.0;-467.0;-518.0;-1544.0;-1656.0;-2024.0;-1035.0
Хабаровский край;800;Женщины;Городская местность;-917.0;-1531.0;-594.0;-1689.0;-294.0;-1066.0;-515.0
Амурская область;100;Женщины;Городская местность;-1307.0;-669.0;-353.0;-235.0;-490.0;-62.0;-668.0
Магаданская область;440;Женщины;Городская местность;-734.0;-1009.0;-767.0;-511.0;-500.0;-449.0;-59.0
Сахалинская область;640;Женщины;Городская местность;-38.0;-377.0;-983.0;-261.0;-1104.0;-588.0;-22.0
Еврейская автономная область;990;Женщины;Городская местность;-667.0;-625.0;-609.0;-530.0;-592.0;-489.0;-256.0
Чукотский автономный округ;770;Женщины;Городская местность;-112.0;109.0;3.0;-360.0;137.0;127.0;242.0
Энгельс;634;Женщины;Городская местность;-57.0;-57.0;-57.0;-57.0;-57.0;-57.0;-57.0
Северск;695;Женщины;Городская местность;-94.0;-61.0;-61.0;-61.0;-61.0;-61.0;-61.0
Центральный федеральный округ;30;Женщины;Сельская местность;-533686.0;-571637.0;-530208.0;-467285.0;-442500.0;-450257.0;-465955.0
Белгородская область;140;Женщины;Сельская местность;-22985.0;-25432.0;-22799.0;-19423.0;-19148.0;-19849.0;-21704.0
Брянская область;150;Женщины;Сельская местность;-22093.0;-22957.0;-18808.0;-15728.0;-16879.0;-16444.0;-14935.0
Владимирская область;170;Женщины;Сельская местность;-21491.0;-22488.0;-19480.0;-14528.0;-16006.0;-15635.0;-14538.0
